date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,aerosol_optical_depth,dust,uv_index,us_aqi,european_aqi
2022-08-01,,,,,,,,,,,
2022-08-02,,,,,,,,,,,
2022-08-03,,,,,,,,,,,
2022-08-04,32.817647058823525,22.68235294117647,464.8235294117647,36.63529411764706,14.005882352941176,55.529411764705884,0.28647058823529414,0.0,2.182352941176471,,
2022-08-05,26.891666666666666,18.570833333333333,460.2916666666667,33.3375,10.154166666666667,30.375,0.15125,0.0,1.8375000000000001,67.11764705882354,41.35294117647059
2022-08-06,27.03333333333333,18.629166666666666,443.5833333333333,34.637499999999996,10.0625,21.125,0.2304166666666667,0.0,1.5520833333333333,63.166666666666664,36.375
2022-08-07,29.61666666666667,20.25,470.0,34.65416666666667,12.4,21.458333333333332,0.235,0.0,1.3333333333333333,66.375,39.5
2022-08-08,35.541666666666664,24.429166666666664,545.625,43.975,13.15,21.541666666666668,0.18500000000000003,0.0,0.6666666666666666,72.41666666666667,50.166666666666664
2022-08-09,21.8625,15.012500000000001,368.125,27.599999999999998,10.008333333333333,27.625,0.16708333333333333,0.0,2.004166666666667,64.91666666666667,40.041666666666664
2022-08-10,23.379166666666666,16.016666666666666,388.5416666666667,27.479166666666668,8.920833333333333,21.458333333333332,0.21166666666666667,0.0,1.6416666666666666,57.291666666666664,30.916666666666668
2022-08-11,33.84583333333333,22.741666666666664,398.5416666666667,28.84166666666667,10.8125,37.958333333333336,0.23625,0.0,1.8895833333333334,59.625,35.25
2022-08-12,73.02499999999999,50.145833333333336,694.5416666666666,48.6625,17.870833333333334,55.916666666666664,0.345,0.5833333333333334,2.3333333333333335,120.33333333333333,74.5
2022-08-13,66.95833333333333,45.9125,1050.8333333333333,50.666666666666664,19.833333333333332,59.208333333333336,0.37041666666666667,0.875,2.2083333333333335,127.66666666666667,77.29166666666667
