date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,aerosol_optical_depth,dust,uv_index,t-1,t-2,t-3,t-7,t-14,rolling_mean_3,rolling_std_3,rolling_max_3,rolling_min_3,rolling_mean_7,rolling_std_7,rolling_max_7,rolling_min_7,rolling_mean_14,rolling_std_14,rolling_max_14,rolling_min_14,rolling_mean_30,rolling_std_30,rolling_max_30,rolling_min_30,diff_1,diff_7,month_sin,month_cos,weekday_sin,weekday_cos,day_of_year_sin,day_of_year_cos,is_weekend,is_dry_season
2022-08-31,0.8908739739256398,0.7515327525008071,-0.1560824160316116,0.30638888888888854,-0.31798396334478807,-0.2875399361022364,1.0258397932816532,0.0,-0.27499999999999997,-0.43586005830903796,-0.186861313868613,0.8525547445255484,0.31797919762258564,-0.2984848484848484,0.03986710963455203,1.3541898965908687,0.448101265822785,-0.18637274549098268,-0.06163453706217781,0.2182893720400319,0.14450867052023175,0.09280742459396694,-0.1875390381011866,-0.31931546957158147,-0.17843866171003725,0.4954954954954955,-0.10463607036644984,0.43602499046060306,0.4293628808864271,0.49333333333333257,0.4738219895287955,-0.4992526158445436,-0.8660254037844384,-0.5000000000000004,0.9749279121818236,-0.22252093395631434,-0.8631421280499115,-0.5049610547215202,0,0
2022-09-01,2.401014002897152,2.200064536947403,0.24880045159469374,0.06333333333333281,0.2297823596792669,1.616613418530351,2.480620155038759,0.0,0.21250000000000022,-0.17492711370262382,-0.4350364963503652,-0.186861313868613,-0.3194650817236254,0.06363636363636366,-0.34939091915836057,-0.4185044243351286,-0.4417721518987341,-0.18637274549098268,-0.1504208525658432,0.16685226771296835,0.14450867052023175,0.09280742459396694,-0.17395377888819483,-0.3373180911880069,-0.17843866171003725,0.4954954954954955,-0.09465572861535382,0.4278687426196116,0.4293628808864271,0.49333333333333257,3.3507853403141343,2.052316890881913,-1.0,-1.8369701987210297e-16,0.43388373911755823,-0.900968867902419,-0.8717063187093217,-0.4900286664290594,0,0
2022-09-02,1.7914051183003379,1.6360116166505325,-0.08481512842224093,-0.004166666666666667,0.2206185567010311,0.7683706070287541,2.2842377260981905,0.0,0.018749999999999264,1.6880466472303197,-0.17372262773722613,-0.4350364963503652,-0.427934621099554,0.05606060606060625,0.3632336655592462,2.9316195827062477,1.1759493670886068,-0.18637274549098268,0.22427368992668972,1.1846587832997288,0.9754335260115599,0.09280742459396694,0.0018738288569647168,0.42640031287840197,0.5340768277571248,0.4954954954954955,0.05221407328998333,0.6550793445862555,0.4293628808864271,0.49333333333333257,1.0340314136125643,2.7488789237668154,-1.0,-1.8369701987210297e-16,-0.433883739117558,-0.9009688679024191,-0.8800122039735356,-0.4749510720670502,0,0
2022-09-03,0.37421535490101376,0.30687318489835425,-0.20279424216765457,0.23666666666666625,0.10492554410080172,-0.8929712460063893,0.07493540051679587,0.0,0.3937499999999999,2.2609329446064126,1.6919708029197082,-0.17372262773722613,0.2407132243684993,-0.27424242424242395,1.387596899224805,3.313621127105463,1.6734177215189863,0.1723446893787573,0.7254955199565574,1.960483472129438,1.543352601156068,0.09280742459396694,0.23985009369144347,1.248039692929939,1.021065675340768,0.4954954954954955,0.24117899087655673,1.0103447172517788,0.8601108033240995,0.49333333333333257,-2.5392670157068062,0.6233183856502246,-1.0,-1.8369701987210297e-16,-0.9749279121818236,-0.2225209339563146,-0.888057322629493,-0.4597327394521046,1,0
2022-09-04,0.15016900048285864,0.08357534688609196,0.12221281399943547,0.37166666666666665,-0.035967926689576275,-0.8210862619808302,0.1757105943152454,0.0,0.006249999999999977,0.8440233236151599,2.2656934306569347,1.6919708029197082,0.876671619613671,-0.21060606060606032,1.7746400885935758,1.455717186739228,1.6734177215189863,1.5731462925851702,0.8406190605484659,1.9251545361612021,1.543352601156068,0.09280742459396694,0.3600874453466585,1.2483397815448192,1.021065675340768,0.4954954954954955,0.3260307979232825,1.016813545719987,0.8601108033240995,0.49333333333333257,-1.2120418848167542,-0.7115097159940211,-1.0,-1.8369701987210297e-16,-0.7818314824680299,0.6234898018587334,-0.8958392907349089,-0.4443781781046134,1,0
2022-09-05,-0.5197971994205701,-0.5346886092287837,-0.09158904882867615,-0.05166666666666705,-0.4849942726231386,-1.2460063897763571,-0.44702842377261015,0.0,-0.5718749999999997,0.1661807580174926,0.8467153284671535,2.2656934306569347,-0.18127786032689436,-0.3136363636363637,1.1965669988925796,2.6354595932963667,1.6734177215189863,0.6412825651302604,0.713277219657888,1.9718653461334261,1.543352601156068,0.09280742459396694,0.40115552779512925,1.2035410829381583,1.021065675340768,0.4954954954954955,0.36107540702656493,0.9912353702442699,0.8601108033240995,0.49333333333333257,-1.0130890052356023,-0.22869955156950617,-1.0,-1.8369701987210297e-16,0.0,1.0,-0.9033558023246842,-0.4288919379124841,0,0
2022-09-06,-0.2638821825205217,-0.28428525330751897,0.24089754445385292,0.39888888888888874,-0.4302405498281788,-1.349840255591054,-0.31007751937984557,0.0,-0.9937499999999997,-0.4008746355685127,0.1678832116788323,0.8467153284671535,-0.4338781575037149,0.45606060606060633,0.1854928017718717,1.1592396590012717,0.4430379746835439,-0.13827655310621245,0.6736356231333149,2.063880782063269,1.543352601156068,0.09280742459396694,0.39209868831979966,1.222908141532532,1.021065675340768,0.4954954954954955,0.3646101113967439,0.9858142704487968,0.8601108033240995,0.49333333333333257,-0.010471204188482417,0.01644245142003074,-1.0,-1.8369701987210297e-16,0.7818314824680298,0.6234898018587336,-0.9106046300942162,-0.41327860778290443,0,0
2022-09-07,-0.2984065668759055,-0.3120361406905458,0.3416596104995769,0.30166666666666636,-0.39037800687285223,-1.6357827476038334,-0.8966408268733852,0.0,-1.5531249999999999,-0.40962099125364393,-0.3999999999999997,0.1678832116788323,-0.16790490341753328,0.328787878787879,-0.290697674418604,0.18751585086939562,-0.1455696202531646,-0.15030060120240482,0.6785229432527823,2.051196099993722,1.543352601156068,0.1345707656612531,0.30277951280449694,1.3044487836415561,1.021065675340768,0.4954954954954955,0.35925449871465315,0.9934068726407433,0.8601108033240995,0.49333333333333257,0.3324607329842921,-0.06427503736920742,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434,-0.9175836260593934,-0.3975428142825566,0,0
2022-09-08,-0.5965717044905845,-0.5937399161019685,-0.11699125035280825,0.03472222222222214,-0.5617411225658648,-1.3115015974440891,-1.1679586563307496,0.0,-0.3968749999999997,-0.22740524781341095,-0.40875912408759096,-0.3999999999999997,1.7310549777117388,-0.3212121212121211,-0.440199335548172,-0.5650557913696956,-0.4873417721518986,-0.15030060120240482,0.6687483030138462,2.070810690002042,1.543352601156068,0.1345707656612531,0.24609618988132412,1.3421472464576734,1.021065675340768,0.4954954954954955,0.3517566409597266,1.0007047691519577,0.8601108033240995,0.49333333333333257,-0.6937172774869116,-2.3736920777279513,-1.0,-1.8369701987210297e-16,0.43388373911755823,-0.900968867902419,-0.9242907221930934,-0.3816892202666586,0,0
2022-09-09,0.05432158377595365,-0.012262020006453826,0.11515664690939903,0.7911111111111109,-0.49805269186712486,-0.8035143769968048,-0.015503875968992262,0.0,0.32500000000000046,-0.6166180758017489,-0.22627737226277359,-0.40875912408759096,2.3150074294205054,-0.43181818181818166,-0.5221483942414167,-0.2603891737406299,-0.4873417721518986,-0.4348697394789582,0.23947868585392273,1.9096057854042243,1.543352601156068,-0.1948955916473317,0.21470955652717091,1.4057305323667622,1.021065675340768,0.1231231231231238,0.3349400171379617,1.028798287801918,0.8601108033240995,0.49333333333333257,0.44764397905759107,-2.7085201793721962,-1.0,-1.8369701987210297e-16,-0.433883739117558,-0.9009688679024191,-0.9307239310379793,-0.3657225234972692,0,0
