date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,aerosol_optical_depth,dust,uv_index,us_aqi,t-1,t-2,t-3,t-7,t-14,rolling_mean_3,rolling_std_3,rolling_max_3,rolling_min_3,rolling_mean_7,rolling_std_7,rolling_max_7,rolling_min_7,rolling_mean_14,rolling_std_14,rolling_max_14,rolling_min_14,rolling_mean_30,rolling_std_30,rolling_max_30,rolling_min_30,diff_1,diff_7,month_sin,month_cos,weekday_sin,weekday_cos,day_of_year_sin,day_of_year_cos,is_weekend,is_dry_season,target_reg_tomorrow,target_class_tomorrow
2022-08-31,48.725,33.31666666666667,442.75,34.541666666666664,12.525,44.66666666666666,0.4833333333333333,0.0,1.68125,71.0,63.54166666666666,70.625,100.29166666666669,84.625,67.375,78.15277777777779,19.49721015180644,100.29166666666669,63.54166666666666,76.0,13.70482900159509,100.29166666666669,63.54166666666666,74.76785714285714,10.790877288792696,100.29166666666669,63.54166666666666,77.59460784313725,18.64065482308384,127.66666666666669,57.29166666666666,7.458333333333343,-13.625,-0.8660254037844384,-0.5000000000000004,0.9749279121818236,-0.22252093395631434,-0.8631421280499115,-0.5049610547215202,0,0,124.25,2
2022-09-01,74.78750000000001,52.020833333333336,562.2916666666666,30.89583333333333,22.4875,94.33333333333331,0.7179166666666666,0.0,2.00625,124.25,71.0,63.54166666666666,70.625,66.75,77.33333333333333,68.38888888888889,4.202002939516248,71.0,63.54166666666666,74.05357142857143,13.235201254558849,100.29166666666669,63.54166666666666,75.02678571428571,10.6423075116617,100.29166666666669,63.54166666666666,77.72401960784313,18.578784784459632,127.66666666666669,57.29166666666666,53.25,57.5,-1.0,-1.8369701987210297e-16,0.43388373911755823,-0.900968867902419,-0.8717063187093217,-0.4900286664290594,0,0,140.625,2
2022-09-02,64.26666666666667,44.7375,463.7916666666667,29.883333333333336,22.320833333333336,72.20833333333333,0.6862499999999999,0.0,1.8770833333333328,140.625,124.25,71.0,63.54166666666666,63.708333333333336,77.125,86.26388888888887,33.10762996707915,124.25,63.54166666666666,82.26785714285714,22.52791294755211,124.25,63.54166666666666,78.37797619047619,16.945026943339464,124.25,63.54166666666666,79.628431372549,20.302313666068105,127.66666666666669,57.29166666666666,16.375,76.91666666666666,-1.0,-1.8369701987210297e-16,-0.433883739117558,-0.9009688679024191,-0.8800122039735356,-0.4749510720670502,0,0,100.125,2
2022-09-03,39.80833333333333,27.575,428.9583333333333,33.49583333333333,20.216666666666665,28.875,0.33,0.0,2.127083333333333,100.125,140.625,124.25,71.0,82.45833333333333,68.04166666666667,111.95833333333333,36.40362562071716,140.625,71.0,93.2559523809524,29.611297704078694,140.625,63.54166666666666,82.91369047619048,23.725749339067136,140.625,63.54166666666666,82.07867647058823,22.997214894815865,140.625,57.29166666666666,-40.5,17.66666666666667,-1.0,-1.8369701987210297e-16,-0.9749279121818236,-0.2225209339563146,-0.888057322629493,-0.4597327394521046,1,0,80.75,1
2022-09-04,35.94166666666667,24.691666666666663,524.9166666666666,35.520833333333336,17.654166666666665,30.75,0.34625,0.0,1.86875,80.75,100.125,140.625,124.25,100.29166666666669,69.79166666666667,121.66666666666667,20.373210555367436,140.625,100.125,95.77976190476191,29.288739721450955,140.625,63.54166666666666,85.20535714285714,23.728225872739966,140.625,63.54166666666666,83.17892156862744,23.046284844011126,140.625,57.29166666666666,-19.375,-19.541666666666686,-1.0,-1.8369701987210297e-16,-0.7818314824680299,0.6234898018587334,-0.8958392907349089,-0.4443781781046134,1,0,64.54166666666667,1
2022-09-05,24.379166666666663,16.708333333333332,461.7916666666667,29.17083333333333,9.4875,19.666666666666668,0.2458333333333333,0.0,1.4833333333333334,64.54166666666667,80.75,100.125,140.625,70.625,66.95833333333333,107.16666666666667,30.552294649229445,140.625,80.75,92.98809523809526,29.715215759254498,140.625,63.54166666666666,85.98809523809526,23.358516793164707,140.625,63.54166666666666,83.63333333333334,22.852259020437454,140.625,57.29166666666666,-16.20833333333333,-6.083333333333329,-1.0,-1.8369701987210297e-16,0.0,1.0,-0.9033558023246842,-0.4288919379124841,0,0,64.29166666666667,1
2022-09-06,28.79583333333333,19.941666666666663,559.9583333333334,35.92916666666667,10.483333333333333,16.958333333333332,0.2679166666666666,0.0,1.2020833333333334,64.29166666666667,64.54166666666667,80.75,100.125,63.54166666666666,88.125,81.80555555555556,17.815135445062584,100.125,64.54166666666667,92.11904761904762,30.555329183865634,140.625,63.54166666666666,85.81547619047618,23.518346824609893,140.625,63.54166666666666,83.67916666666666,22.811136722504582,140.625,57.29166666666666,-0.25,0.7500000000000142,-1.0,-1.8369701987210297e-16,0.7818314824680298,0.6234898018587336,-0.9106046300942162,-0.41327860778290443,0,0,69.5,1
2022-09-07,28.2,19.58333333333333,589.7083333333334,34.47083333333333,11.208333333333334,9.5,0.1733333333333333,0.0,0.8291666666666666,69.5,64.29166666666667,64.54166666666667,80.75,71.0,84.625,69.86111111111111,9.430882828554532,80.75,64.29166666666667,92.22619047619047,30.43951631414587,140.625,64.29166666666667,84.11309523809523,24.191275206007575,140.625,63.54166666666666,83.60972222222222,22.868731170347754,140.625,57.29166666666666,5.208333333333329,-1.5,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434,-0.9175836260593934,-0.3975428142825566,0,0,58.375,1
2022-09-08,23.054166666666664,15.945833333333333,454.2916666666667,30.46666666666667,8.091666666666667,17.958333333333332,0.1295833333333333,0.0,1.6,58.375,69.5,64.29166666666667,64.54166666666667,124.25,66.75,66.11111111111111,2.9375246255860765,69.5,64.29166666666667,92.01190476190474,30.618600184343443,140.625,64.29166666666667,83.03273809523809,24.502388350421025,140.625,63.54166666666666,83.5125,22.924090098598445,140.625,57.29166666666666,-11.125,-65.875,-1.0,-1.8369701987210297e-16,0.43388373911755823,-0.900968867902419,-0.9242907221930934,-0.3816892202666586,0,0,65.41666666666667,1
2022-09-09,34.2875,23.454166666666666,522.8333333333334,41.8125,9.25,31.20833333333333,0.3154166666666667,0.0,2.0812500000000003,65.41666666666667,58.375,69.5,64.29166666666667,140.625,63.708333333333336,64.05555555555556,5.5662570541245415,69.5,58.375,82.60119047619047,29.146777515709417,140.625,58.375,82.43452380952381,25.02712051543808,140.625,58.375,83.29444444444445,23.137196310897117,140.625,57.29166666666666,7.041666666666671,-75.20833333333333,-1.0,-1.8369701987210297e-16,-0.433883739117558,-0.9009688679024191,-0.9307239310379793,-0.3657225234972692,0,0,77.20833333333333,1
