Model,MAE (Càng thấp càng tốt),RMSE (Càng thấp càng tốt),R2 (Càng cao càng tốt),MAPE (Càng thấp càng tốt)
Ridge,8.272877676752795,10.777014031655941,0.7491481444167223,8.856637791375398
XGBoost,9.141070748877338,12.093707111466598,0.684107500381623,9.566806076197503
LightGBM,9.20161406862508,12.248581591726802,0.6759649267937959,9.581610196077142
Random Forest,9.4298269046373,13.227117262907903,0.6221226780995821,9.785015218010853
Decision Tree,10.211583944654363,14.151551035490417,0.5674577797628773,10.508968265163606
SARIMA,12.416510192220107,16.664031296277546,0.4001657288121879,13.166706351572943
