date,target_reg_tomorrow,target_class_tomorrow
2022-08-31,124.25,2
2022-09-01,140.625,2
2022-09-02,100.125,2
2022-09-03,80.75,1
2022-09-04,64.54166666666667,1
2022-09-05,64.29166666666667,1
2022-09-06,69.5,1
2022-09-07,58.375,1
2022-09-08,65.41666666666667,1
2022-09-09,77.20833333333333,1
2022-09-10,81.58333333333333,1
2022-09-11,65.79166666666667,1
2022-09-12,110.125,2
2022-09-13,90.875,1
2022-09-14,72.25,1
2022-09-15,84.16666666666667,1
2022-09-16,78.0,1
2022-09-17,84.83333333333333,1
2022-09-18,75.0,1
2022-09-19,73.5,1
2022-09-20,81.41666666666667,1
2022-09-21,65.33333333333333,1
2022-09-22,70.125,1
2022-09-23,76.70833333333333,1
2022-09-24,87.58333333333333,1
2022-09-25,83.08333333333333,1
2022-09-26,79.08333333333333,1
2022-09-27,56.16666666666666,1
2022-09-28,44.54166666666666,0
2022-09-29,52.375,1
2022-09-30,75.70833333333333,1
2022-10-01,107.54166666666669,2
2022-10-02,74.04166666666667,1
2022-10-03,64.25,1
2022-10-04,63.41666666666666,1
2022-10-05,54.958333333333336,1
2022-10-06,85.91666666666667,1
2022-10-07,78.25,1
2022-10-08,83.58333333333333,1
2022-10-09,80.08333333333333,1
2022-10-10,74.29166666666667,1
2022-10-11,78.25,1
2022-10-12,75.66666666666667,1
2022-10-13,67.41666666666667,1
2022-10-14,73.375,1
2022-10-15,78.5,1
2022-10-16,90.0,1
2022-10-17,93.75,1
2022-10-18,66.125,1
2022-10-19,64.66666666666667,1
2022-10-20,75.95833333333333,1
2022-10-21,101.70833333333331,2
2022-10-22,90.20833333333331,1
2022-10-23,102.16666666666669,2
2022-10-24,89.0,1
2022-10-25,86.54166666666667,1
2022-10-26,83.0,1
2022-10-27,86.91666666666667,1
2022-10-28,125.33333333333331,2
2022-10-29,86.83333333333333,1
2022-10-30,97.33333333333331,1
2022-10-31,125.58333333333331,2
2022-11-01,102.75,2
2022-11-02,76.91666666666667,1
2022-11-03,80.04166666666667,1
2022-11-04,71.04166666666667,1
2022-11-05,81.125,1
2022-11-06,107.45833333333331,2
2022-11-07,102.20833333333331,2
2022-11-08,87.625,1
2022-11-09,97.70833333333331,1
2022-11-10,107.83333333333331,2
2022-11-11,77.0,1
2022-11-12,93.83333333333331,1
2022-11-13,73.375,1
2022-11-14,99.91666666666669,1
2022-11-15,94.41666666666669,1
2022-11-16,92.5,1
2022-11-17,109.54166666666669,2
2022-11-18,97.08333333333331,1
2022-11-19,76.20833333333333,1
2022-11-20,68.08333333333333,1
2022-11-21,106.5,2
2022-11-22,71.79166666666667,1
2022-11-23,51.54166666666666,1
2022-11-24,49.75,0
2022-11-25,61.208333333333336,1
2022-11-26,86.125,1
2022-11-27,72.125,1
2022-11-28,61.5,1
2022-11-29,85.08333333333333,1
